,Time,NonPr,Printable,Materials,Env_Materials,#Replicator,#Normal,#Assembler,#Printer,#Assembling,#Printing,#Collecting,#Idle,#In,#Out,Average Build Quality in-service,Average Build Quality of System,#WasteReplicator,#WasteNormal,#WasteAssembler,#WastePrinter,Environment Exhaust Time,Printable Exhaust Time,NonPr Exhaust Time,Material Exhaust Time,Print Capacity,Assembling Capacity,Collection Capacity
28,149.0,0.0,49.0,1.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,53.0,44.0,0.67,0.557,44.0,0.0,0.0,0.0,95,33,92,36,53.0,53.0,53.0
29,149.0,0.0,49.0,1.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,70.0,29.0,0.664,0.594,29.0,0.0,0.0,0.0,86,25,83,34,70.0,70.0,70.0
30,149.0,0.0,49.0,1.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,59.0,36.0,0.655,0.566,36.0,0.0,0.0,0.0,93,32,90,35,59.0,59.0,59.0
31,149.0,0.0,49.0,1.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,62.0,37.0,0.611,0.537,37.0,0.0,0.0,0.0,89,26,86,34,62.0,62.0,62.0
32,149.0,0.0,49.0,1.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,73.0,24.0,0.662,0.606,24.0,0.0,0.0,0.0,79,42,77,32,73.0,73.0,73.0
33,149.0,0.0,49.0,1.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,66.0,29.0,0.645,0.575,29.0,0.0,0.0,0.0,90,24,88,34,66.0,66.0,66.0
34,149.0,0.0,49.0,1.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,62.0,32.0,0.63,0.554,32.0,0.0,0.0,0.0,90,31,87,33,62.0,62.0,62.0
35,149.0,0.0,49.0,1.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,62.0,32.0,0.639,0.568,32.0,0.0,0.0,0.0,85,30,82,32,62.0,62.0,62.0
36,149.0,0.0,49.0,1.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,35.0,0.698,0.588,35.0,0.0,0.0,0.0,91,27,88,36,60.0,60.0,60.0
37,149.0,0.0,49.0,1.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,65.0,31.0,0.685,0.602,31.0,0.0,0.0,0.0,91,31,88,34,65.0,65.0,65.0
38,149.0,0.0,49.0,1.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,76.0,21.0,0.674,0.615,21.0,0.0,0.0,0.0,77,41,75,32,76.0,76.0,76.0
39,149.0,0.0,49.0,1.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,63.0,37.0,0.64,0.556,37.0,0.0,0.0,0.0,86,25,83,33,63.0,63.0,63.0
40,149.0,0.0,49.0,1.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,54.0,43.0,0.604,0.522,43.0,0.0,0.0,0.0,101,24,98,35,54.0,54.0,54.0
41,149.0,0.0,49.0,1.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,65.0,28.0,0.663,0.588,28.0,0.0,0.0,0.0,84,30,81,32,65.0,65.0,65.0
42,149.0,0.0,49.0,1.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,66.0,31.0,0.647,0.574,31.0,0.0,0.0,0.0,86,30,83,31,66.0,66.0,66.0
