,Time,NonPr,Printable,Materials,Env_Materials,#Replicator,#Normal,#Assembler,#Printer,#Assembling,#Printing,#Collecting,#Idle,#In,#Out,Average Build Quality in-service,Average Build Quality of System,#WasteReplicator,#WasteNormal,#WasteAssembler,#WastePrinter,Environment Exhaust Time,Printable Exhaust Time,NonPr Exhaust Time,Material Exhaust Time,Print Capacity,Assembling Capacity,Collection Capacity
28,99.0,0.0,49.0,1.0,0.0,57.0,21.0,0.0,0.0,0.0,0.0,0.0,78.0,78.0,85.0,0.609,0.502,67.0,18.0,0.0,0.0,68,32,74,76,57.0,57.0,78.0
29,99.0,0.0,49.0,1.0,0.0,92.0,29.0,0.0,0.0,0.0,0.0,0.0,121.0,121.0,48.0,0.71,0.627,36.0,12.0,0.0,0.0,57,30,60,62,92.0,92.0,121.0
30,99.0,0.0,49.0,1.0,0.0,68.0,26.0,0.0,0.0,0.0,0.0,0.0,94.0,94.0,69.0,0.617,0.527,56.0,13.0,0.0,0.0,65,50,78,80,68.0,68.0,94.0
31,99.0,0.0,49.0,1.0,0.0,62.0,25.0,0.0,0.0,0.0,0.0,0.0,87.0,87.0,74.0,0.633,0.534,56.0,18.0,0.0,0.0,66,30,70,72,62.0,62.0,87.0
32,99.0,0.0,49.0,1.0,0.0,69.0,34.0,0.0,0.0,0.0,0.0,0.0,103.0,103.0,58.0,0.646,0.563,47.0,11.0,0.0,0.0,59,34,64,66,69.0,69.0,103.0
33,99.0,0.0,49.0,1.0,0.0,84.0,28.0,0.0,0.0,0.0,0.0,0.0,112.0,112.0,55.0,0.663,0.581,35.0,20.0,0.0,0.0,64,30,70,72,84.0,84.0,112.0
34,99.0,0.0,49.0,1.0,0.0,61.0,21.0,0.0,0.0,0.0,0.0,0.0,82.0,82.0,77.0,0.617,0.516,57.0,20.0,0.0,0.0,72,46,78,80,61.0,61.0,82.0
35,99.0,0.0,49.0,1.0,0.0,73.0,28.0,0.0,0.0,0.0,0.0,0.0,101.0,101.0,62.0,0.61,0.533,43.0,19.0,0.0,0.0,62,52,70,72,73.0,73.0,101.0
36,99.0,0.0,49.0,1.0,0.0,65.0,32.0,0.0,0.0,0.0,0.0,0.0,97.0,97.0,62.0,0.652,0.562,40.0,22.0,0.0,0.0,60,30,68,70,65.0,65.0,97.0
37,99.0,0.0,49.0,1.0,0.0,80.0,35.0,0.0,0.0,0.0,0.0,0.0,115.0,115.0,50.0,0.694,0.611,38.0,12.0,0.0,0.0,59,26,66,68,80.0,80.0,115.0
38,99.0,0.0,49.0,1.0,0.0,65.0,29.0,0.0,0.0,0.0,0.0,0.0,94.0,94.0,67.0,0.677,0.564,46.0,21.0,0.0,0.0,60,30,70,72,65.0,65.0,94.0
39,99.0,0.0,49.0,1.0,0.0,72.0,27.0,0.0,0.0,0.0,0.0,0.0,99.0,99.0,64.0,0.643,0.556,45.0,19.0,0.0,0.0,66,40,68,70,72.0,72.0,99.0
40,99.0,0.0,49.0,1.0,0.0,63.0,22.0,0.0,0.0,0.0,0.0,0.0,85.0,85.0,76.0,0.618,0.522,57.0,19.0,0.0,0.0,68,58,74,76,63.0,63.0,85.0
41,99.0,0.0,49.0,1.0,0.0,52.0,19.0,0.0,0.0,0.0,0.0,0.0,71.0,71.0,90.0,0.62,0.506,69.0,21.0,0.0,0.0,80,36,78,78,52.0,52.0,71.0
42,99.0,0.0,49.0,1.0,0.0,56.0,32.0,0.0,0.0,0.0,0.0,0.0,88.0,88.0,75.0,0.652,0.542,53.0,22.0,0.0,0.0,58,34,76,78,56.0,56.0,88.0
