,Environment Exhaust Time,Material Exhaust Time,NonPr Exhaust Time,Print Capacity,Assembling Capacity,Collection Capacity,Average Build Quality in-service,Average Build Quality of System,#Out
1000,45.0,1096.0,998.0,1.0,1.0,302.0,0.778201,0.778201,0.0
1001,0.0,0.0,0.0,0.0,0.0,0.0,0.029257658809275906,0.029257658809275906,0.0
