,Environment Exhaust Time,Material Exhaust Time,NonPr Exhaust Time,Print Capacity,Assembling Capacity,Collection Capacity,Average Build Quality in-service,Average Build Quality of System,#Out
1000,45.0,1696.0,1598.0,1.0,1.0,301.0,0.779625,0.779625,0.0
1001,0.0,0.0,0.0,0.0,0.0,0.0,0.028833077792701906,0.028833077792701906,0.0
